k,method,type,a,b,n,time
1,ie,it,1000,2,1,0.00000700
1,ie,re,1000,2,1,0.00001600
1,ie,it,1000,4,2,0.00000400
1,ie,re,1000,4,2,0.00000500
1,ie,it,1000,8,3,0.00000500
1,ie,re,1000,8,3,0.00000400
1,ie,it,1000,16,4,0.00000400
1,ie,re,1000,16,4,0.00000600
1,ie,it,1000,32,5,0.00000500
1,ie,re,1000,32,5,0.00003200
1,ie,it,1000,64,6,0.00000900
1,ie,re,1000,64,6,0.00000800
1,ie,it,1000,128,7,0.00000600
1,ie,re,1000,128,7,0.00000800
1,ie,it,1000,256,8,0.00000800
1,ie,re,1000,256,8,0.00001100
1,ie,it,1000,512,9,0.00004800
1,ie,re,1000,512,9,0.00002900
1,ie,it,1000,1024,10,0.00008100
1,ie,re,1000,1024,10,0.00007500
1,ie,it,1000,2048,11,0.00015300
1,ie,re,1000,2048,11,0.00016600
1,ie,it,1000,4096,12,0.00037300
1,ie,re,1000,4096,12,0.00035900
1,ie,it,1000,8192,13,0.00079500
1,ie,re,1000,8192,13,0.00081800
1,ie,it,1000,16384,14,0.00227700
1,ie,re,1000,16384,14,0.00229600
1,ie,it,1000,32768,15,0.00691200
1,ie,re,1000,32768,15,0.00669200
1,ie,it,1000,65536,16,0.02074200
1,ie,re,1000,65536,16,0.02109700
1,ie,it,1000,131072,17,0.06134200
1,ie,re,1000,131072,17,0.06065800
1,ie,it,1000,262144,18,0.18375500
1,ie,re,1000,262144,18,0.18375400
1,ie,it,1000,524288,19,0.55579800
1,ie,re,1000,524288,19,0.55247200
1,ie,it,1000,1048576,20,1.65951000
1,ie,re,1000,1048576,20,1.66278200
1,ie,it,1000,2097152,21,5.33570400
1,ie,re,1000,2097152,21,5.32588200
1,ie,it,1000,4194304,22,17.30597300
1,ie,re,1000,4194304,22,16.06774500
1,ie,it,1000,8388608,23,50.19364300
1,ie,re,1000,8388608,23,45.36484600
1,ie,it,1000,16777216,24,137.61172800
1,ie,re,1000,16777216,24,136.30510400
2,ie,it,1000,2,1,0.00007200
2,ie,re,1000,2,1,0.00002300
2,ie,it,1000,4,2,0.00001300
2,ie,re,1000,4,2,0.00000500
2,ie,it,1000,8,3,0.00000300
2,ie,re,1000,8,3,0.00000400
2,ie,it,1000,16,4,0.00002200
2,ie,re,1000,16,4,0.00000500
2,ie,it,1000,32,5,0.00000400
2,ie,re,1000,32,5,0.00000500
2,ie,it,1000,64,6,0.00001500
2,ie,re,1000,64,6,0.00000600
2,ie,it,1000,128,7,0.00002100
2,ie,re,1000,128,7,0.00000800
2,ie,it,1000,256,8,0.00002500
2,ie,re,1000,256,8,0.00000900
2,ie,it,1000,512,9,0.00005700
2,ie,re,1000,512,9,0.00001600
2,ie,it,1000,1024,10,0.00008000
2,ie,re,1000,1024,10,0.00003600
2,ie,it,1000,2048,11,0.00010400
2,ie,re,1000,2048,11,0.00009200
2,ie,it,1000,4096,12,0.00100000
2,ie,re,1000,4096,12,0.00040400
2,ie,it,1000,8192,13,0.00107100
2,ie,re,1000,8192,13,0.00088900
2,ie,it,1000,16384,14,0.00245000
2,ie,re,1000,16384,14,0.00223600
2,ie,it,1000,32768,15,0.00678600
2,ie,re,1000,32768,15,0.00776100
2,ie,it,1000,65536,16,0.02095400
2,ie,re,1000,65536,16,0.02003100
2,ie,it,1000,131072,17,0.06122800
2,ie,re,1000,131072,17,0.06093900
2,ie,it,1000,262144,18,0.18354400
2,ie,re,1000,262144,18,0.18117900
2,ie,it,1000,524288,19,0.55460500
2,ie,re,1000,524288,19,0.55163300
2,ie,it,1000,1048576,20,1.66774200
2,ie,re,1000,1048576,20,1.68309900
2,ie,it,1000,2097152,21,5.22044900
2,ie,re,1000,2097152,21,5.23149100
2,ie,it,1000,4194304,22,15.38798900
2,ie,re,1000,4194304,22,16.19186200
2,ie,it,1000,8388608,23,45.78230700
2,ie,re,1000,8388608,23,48.34950900
2,ie,it,1000,16777216,24,139.16695500
2,ie,re,1000,16777216,24,138.94227000
3,ie,it,1000,2,1,0.00004600
3,ie,re,1000,2,1,0.00003000
3,ie,it,1000,4,2,0.00000600
3,ie,re,1000,4,2,0.00000600
3,ie,it,1000,8,3,0.00000400
3,ie,re,1000,8,3,0.00000400
3,ie,it,1000,16,4,0.00000300
3,ie,re,1000,16,4,0.00000500
3,ie,it,1000,32,5,0.00000400
3,ie,re,1000,32,5,0.00000400
3,ie,it,1000,64,6,0.00004600
3,ie,re,1000,64,6,0.00000700
3,ie,it,1000,128,7,0.00000500
3,ie,re,1000,128,7,0.00000600
3,ie,it,1000,256,8,0.00000700
3,ie,re,1000,256,8,0.00000900
3,ie,it,1000,512,9,0.00002500
3,ie,re,1000,512,9,0.00001600
3,ie,it,1000,1024,10,0.00004300
3,ie,re,1000,1024,10,0.00004000
3,ie,it,1000,2048,11,0.00009600
3,ie,re,1000,2048,11,0.00008700
3,ie,it,1000,4096,12,0.00024500
3,ie,re,1000,4096,12,0.00024200
3,ie,it,1000,8192,13,0.00079300
3,ie,re,1000,8192,13,0.00080000
3,ie,it,1000,16384,14,0.00228300
3,ie,re,1000,16384,14,0.00228900
3,ie,it,1000,32768,15,0.00693100
3,ie,re,1000,32768,15,0.00667600
3,ie,it,1000,65536,16,0.02062300
3,ie,re,1000,65536,16,0.01994600
3,ie,it,1000,131072,17,0.06446900
3,ie,re,1000,131072,17,0.06059600
3,ie,it,1000,262144,18,0.18360200
3,ie,re,1000,262144,18,0.18223000
3,ie,it,1000,524288,19,0.55291900
3,ie,re,1000,524288,19,0.54637000
3,ie,it,1000,1048576,20,1.63466800
3,ie,re,1000,1048576,20,1.63631100
3,ie,it,1000,2097152,21,4.89652500
3,ie,re,1000,2097152,21,4.96042800
3,ie,it,1000,4194304,22,14.76199900
3,ie,re,1000,4194304,22,14.74804400
3,ie,it,1000,8388608,23,45.13673700
3,ie,re,1000,8388608,23,45.06755600
3,ie,it,1000,16777216,24,134.09654600
3,ie,re,1000,16777216,24,135.06168800
4,ie,it,1000,2,1,0.00004400
4,ie,re,1000,2,1,0.00002000
4,ie,it,1000,4,2,0.00001100
4,ie,re,1000,4,2,0.00000600
4,ie,it,1000,8,3,0.00001500
4,ie,re,1000,8,3,0.00000600
4,ie,it,1000,16,4,0.00000500
