k, metodo, b, n, tiempo
1, ingenuo, 2, 1, 0.00001400
1, ordenamiento, 2, 1, 0.00002200
1, ingenuo, 4, 2, 0.00001200
1, ordenamiento, 4, 2, 0.00003500
1, ingenuo, 8, 3, 0.00002200
1, ordenamiento, 8, 3, 0.00007000
1, ingenuo, 16, 4, 0.00005500
1, ordenamiento, 16, 4, 0.00021800
1, ingenuo, 32, 5, 0.00009100
1, ordenamiento, 32, 5, 0.00031800
1, ingenuo, 64, 6, 0.00033400
1, ordenamiento, 64, 6, 0.00060200
1, ingenuo, 128, 7, 0.00102700
1, ordenamiento, 128, 7, 0.00089100
1, ingenuo, 256, 8, 0.00393300
1, ordenamiento, 256, 8, 0.00192200
1, ingenuo, 512, 9, 0.01793800
1, ordenamiento, 512, 9, 0.00419200
1, ingenuo, 1024, 10, 0.07486800
1, ordenamiento, 1024, 10, 0.00929300
1, ingenuo, 2048, 11, 0.30952200
1, ordenamiento, 2048, 11, 0.02181700
1, ingenuo, 4096, 12, 1.52125200
1, ordenamiento, 4096, 12, 0.04716500
1, ingenuo, 8192, 13, 6.02940800
1, ordenamiento, 8192, 13, 0.10441800
1, ingenuo, 16384, 14, 29.19134700
1, ordenamiento, 16384, 14, 0.24219300
1, ingenuo, 32768, 15, 134.88768000
1, ordenamiento, 32768, 15, 0.63792000
2, ingenuo, 2, 1, 0.00002100
2, ordenamiento, 2, 1, 0.00001700
2, ingenuo, 4, 2, 0.00001800
2, ordenamiento, 4, 2, 0.00003700
2, ingenuo, 8, 3, 0.00001300
2, ordenamiento, 8, 3, 0.00006900
2, ingenuo, 16, 4, 0.00002800
2, ordenamiento, 16, 4, 0.00010900
2, ingenuo, 32, 5, 0.00008200
2, ordenamiento, 32, 5, 0.00020600
2, ingenuo, 64, 6, 0.00028700
2, ordenamiento, 64, 6, 0.00042900
2, ingenuo, 128, 7, 0.00115700
2, ordenamiento, 128, 7, 0.00100700
2, ingenuo, 256, 8, 0.00462700
2, ordenamiento, 256, 8, 0.00224900
2, ingenuo, 512, 9, 0.01818500
2, ordenamiento, 512, 9, 0.00468500
2, ingenuo, 1024, 10, 0.07811800
2, ordenamiento, 1024, 10, 0.01091200
2, ingenuo, 2048, 11, 0.34316300
2, ordenamiento, 2048, 11, 0.02135800
2, ingenuo, 4096, 12, 1.48512400
2, ordenamiento, 4096, 12, 0.06800400
2, ingenuo, 8192, 13, 8.32378300
2, ordenamiento, 8192, 13, 0.10499200
2, ingenuo, 16384, 14, 29.64137900
2, ordenamiento, 16384, 14, 0.24023700
2, ingenuo, 32768, 15, 134.17563400
2, ordenamiento, 32768, 15, 0.62767800
3, ingenuo, 2, 1, 0.00000900
3, ordenamiento, 2, 1, 0.00002300
3, ingenuo, 4, 2, 0.00001100
3, ordenamiento, 4, 2, 0.00002600
3, ingenuo, 8, 3, 0.00001100
3, ordenamiento, 8, 3, 0.00004400
3, ingenuo, 16, 4, 0.00002500
3, ordenamiento, 16, 4, 0.00009600
3, ingenuo, 32, 5, 0.00007300
3, ordenamiento, 32, 5, 0.00021000
3, ingenuo, 64, 6, 0.00026100
3, ordenamiento, 64, 6, 0.00042100
3, ingenuo, 128, 7, 0.00147100
3, ordenamiento, 128, 7, 0.00106900
3, ingenuo, 256, 8, 0.00516400
3, ordenamiento, 256, 8, 0.00222900
3, ingenuo, 512, 9, 0.02590600
3, ordenamiento, 512, 9, 0.00554500
3, ingenuo, 1024, 10, 0.10502300
3, ordenamiento, 1024, 10, 0.01223700
3, ingenuo, 2048, 11, 0.30694600
3, ordenamiento, 2048, 11, 0.02028200
3, ingenuo, 4096, 12, 1.32414200
3, ordenamiento, 4096, 12, 0.04628300
3, ingenuo, 8192, 13, 5.73571200
3, ordenamiento, 8192, 13, 0.11231100
3, ingenuo, 16384, 14, 28.57552700
3, ordenamiento, 16384, 14, 0.24070900
3, ingenuo, 32768, 15, 130.30844200
3, ordenamiento, 32768, 15, 0.59593200
4, ingenuo, 2, 1, 0.00002000
4, ordenamiento, 2, 1, 0.00001800
4, ingenuo, 4, 2, 0.00000700
4, ordenamiento, 4, 2, 0.00002600
4, ingenuo, 8, 3, 0.00001300
4, ordenamiento, 8, 3, 0.00005200
4, ingenuo, 16, 4, 0.00003500
4, ordenamiento, 16, 4, 0.00009100
4, ingenuo, 32, 5, 0.00007000
4, ordenamiento, 32, 5, 0.00021300
4, ingenuo, 64, 6, 0.00028300
4, ordenamiento, 64, 6, 0.00042000
4, ingenuo, 128, 7, 0.00107300
4, ordenamiento, 128, 7, 0.00088600
4, ingenuo, 256, 8, 0.00540900
4, ordenamiento, 256, 8, 0.00196800
4, ingenuo, 512, 9, 0.02096200
4, ordenamiento, 512, 9, 0.00438400
4, ingenuo, 1024, 10, 0.07595600
4, ordenamiento, 1024, 10, 0.00920400
4, ingenuo, 2048, 11, 0.30416000
4, ordenamiento, 2048, 11, 0.02019800
4, ingenuo, 4096, 12, 1.38889600
4, ordenamiento, 4096, 12, 0.04695700
4, ingenuo, 8192, 13, 5.79664100
4, ordenamiento, 8192, 13, 0.10444900
4, ingenuo, 16384, 14, 29.00945900
4, ordenamiento, 16384, 14, 0.23848600
4, ingenuo, 32768, 15, 134.45695400
4, ordenamiento, 32768, 15, 0.59477300
5, ingenuo, 2, 1, 0.00001900
5, ordenamiento, 2, 1, 0.00001800
5, ingenuo, 4, 2, 0.00000600
5, ordenamiento, 4, 2, 0.00002600
5, ingenuo, 8, 3, 0.00002300
5, ordenamiento, 8, 3, 0.00004300
5, ingenuo, 16, 4, 0.00002500
5, ordenamiento, 16, 4, 0.00009500
