k, tipo, b, n, tiempo
1, binario, 2, 1, 0.00001500
1, binomial, 2, 1, 0.00028600
1, binario, 4, 2, 0.00002300
1, binomial, 4, 2, 0.00005000
1, binario, 8, 3, 0.00003000
1, binomial, 8, 3, 0.00009200
1, binario, 16, 4, 0.00005300
1, binomial, 16, 4, 0.00020500
1, binario, 32, 5, 0.00010400
1, binomial, 32, 5, 0.00029900
1, binario, 64, 6, 0.00018000
1, binomial, 64, 6, 10.83507500
1, binario, 128, 7, 0.00049700
1, binomial, 128, 7, 0.00093800
1, binario, 256, 8, 0.00098000
1, binomial, 256, 8, 0.00212500
1, binario, 512, 9, 0.00140300
1, binomial, 512, 9, 0.00397600
1, binario, 1024, 10, 0.00327400
1, binomial, 1024, 10, 0.00868600
1, binario, 2048, 11, 0.00631700
1, binomial, 2048, 11, 0.01912800
1, binario, 4096, 12, 0.01235600
1, binomial, 4096, 12, 0.03913700
1, binario, 8192, 13, 0.02422000
1, binomial, 8192, 13, 0.08438700
1, binario, 16384, 14, 0.06408400
1, binomial, 16384, 14, 11.68755200
1, binario, 32768, 15, 0.12886100
1, binomial, 32768, 15, 12.01680400
1, binario, 65536, 16, 0.28340300
1, binomial, 65536, 16, 29.21536900
1, binario, 131072, 17, 0.78318400
1, binomial, 131072, 17, 46.21816600
1, binario, 262144, 18, 2.73682500
1, binomial, 262144, 18, 54.40521900
1, binario, 524288, 19, 4.50906500
1, binomial, 524288, 19, 99.66917800
2, binario, 2, 1, 0.00090000
2, binomial, 2, 1, 0.00008300
2, binario, 4, 2, 0.00007700
2, binomial, 4, 2, 0.00016400
2, binario, 8, 3, 0.00015600
2, binomial, 8, 3, 0.00025300
2, binario, 16, 4, 0.00018400
2, binomial, 16, 4, 0.00031800
2, binario, 32, 5, 0.00022200
2, binomial, 32, 5, 0.00048400
2, binario, 64, 6, 0.00060400
2, binomial, 64, 6, 0.00145700
2, binario, 128, 7, 0.00090700
2, binomial, 128, 7, 0.00165600
2, binario, 256, 8, 0.00277200
2, binomial, 256, 8, 0.00449200
2, binario, 512, 9, 0.00485300
2, binomial, 512, 9, 0.00437100
2, binario, 1024, 10, 0.00658900
2, binomial, 1024, 10, 0.01293200
2, binario, 2048, 11, 0.01367500
2, binomial, 2048, 11, 0.03088100
2, binario, 4096, 12, 0.03023900
2, binomial, 4096, 12, 0.04939700
2, binario, 8192, 13, 0.05845300
2, binomial, 8192, 13, 0.10283600
2, binario, 16384, 14, 0.12858800
2, binomial, 16384, 14, 0.21039800
2, binario, 32768, 15, 0.28715600
2, binomial, 32768, 15, 0.38760900
2, binario, 65536, 16, 0.54754000
2, binomial, 65536, 16, 0.79613100
2, binario, 131072, 17, 1.12872000
2, binomial, 131072, 17, 53.43059800
2, binario, 262144, 18, 3.42065600
2, binomial, 262144, 18, 56.07570500
2, binario, 524288, 19, 6.51467200
2, binomial, 524288, 19, 83.68646900
3, binario, 2, 1, 0.00030600
3, binomial, 2, 1, 0.00027100
3, binario, 4, 2, 0.00011200
3, binomial, 4, 2, 0.00014500
3, binario, 8, 3, 0.00027800
3, binomial, 8, 3, 0.00041200
3, binario, 16, 4, 0.00016000
3, binomial, 16, 4, 0.00033100
3, binario, 32, 5, 0.00043100
3, binomial, 32, 5, 0.00046400
3, binario, 64, 6, 0.00062700
3, binomial, 64, 6, 0.00060000
3, binario, 128, 7, 0.00089600
3, binomial, 128, 7, 0.00221600
